fort
Fortress
40 34
1 1 0
3 1 0
1 5 0
1 9 0
1 13 0
1 17 0
1 21 0
1 25 0
1 29 0
3 29 0
5 29 0
7 29 0
9 29 0
11 29 0
13 29 0
15 29 0
17 29 0
19 29 0
21 29 0
23 29 0
25 29 0
27 29 0
29 29 0
31 29 0
33 29 0
35 29 0
37 29 0
37 25 0
37 21 0
37 17 0
5 1 0
7 1 0
9 1 0
11 1 0
13 1 0
15 1 0
17 1 0
19 1 0
21 1 0
23 1 0
25 1 0
27 1 0
29 1 0
31 1 0
33 1 0
35 1 0
37 1 0
37 5 0
37 9 0
37 13 0
31 5 0
31 9 0
33 9 0
35 9 0
3 21 0
5 21 0
7 21 0
7 25 0
11 10 0
13 10 0
25 18 0
27 18 0
11 14 0
13 14 0
25 14 0
27 14 0
12 12 1
26 16 1
1 3 1
1 7 1
1 11 1
1 15 1
1 19 1
1 23 1
1 27 1
37 3 1
37 7 1
37 11 1
37 15 1
37 19 1
37 23 1
37 27 1
1 5 2
1 9 2
1 13 2
1 17 2
1 21 2
1 25 2
37 5 2
37 9 2
37 13 2
37 17 2
37 21 2
37 25 2
6 1 1
8 1 1
7 1 2
12 1 1
14 1 1
13 1 2
18 1 1
20 1 1
19 1 2
24 1 1
26 1 1
25 1 2
30 1 1
32 1 1
6 29 1
8 29 1
19 29 2
12 29 1
14 29 1
25 29 2
18 29 1
20 29 1
31 29 2
24 29 1
26 29 1
31 1 2
30 29 1
32 29 1
13 29 2
7 29 2
