turtle
Turtle
28 36
2 2 0
4 2 0
6 2 0
8 2 0
10 2 0
12 2 0
14 2 0
16 2 0
18 2 0
20 2 0
22 2 0
24 2 0
6 6 0
8 6 0
10 6 0
12 6 0
14 6 0
16 6 0
18 6 0
20 6 0
4 10 0
6 10 0
8 10 0
10 10 0
12 10 0
14 10 0
16 10 0
18 10 0
20 10 0
22 10 0
2 14 0
4 14 0
6 14 0
8 14 0
10 14 0
12 14 0
14 14 0
16 14 0
18 14 0
20 14 0
22 14 0
24 14 0
2 18 0
4 18 0
6 18 0
8 18 0
10 18 0
12 18 0
14 18 0
16 18 0
18 18 0
20 18 0
22 18 0
24 18 0
4 22 0
6 26 0
6 30 0
4 30 0
2 30 0
6 22 0
8 22 0
10 22 0
12 22 0
14 22 0
16 22 0
18 22 0
20 22 0
22 22 0
20 26 0
18 26 0
16 26 0
14 26 0
12 26 0
10 26 0
8 26 0
8 30 0
10 30 0
12 30 0
14 30 0
16 30 0
18 30 0
20 30 0
22 30 0
24 30 0
8 6 1
10 6 1
12 6 1
14 6 1
16 6 1
18 6 1
18 10 1
16 10 1
14 10 1
12 10 1
10 10 1
8 10 1
8 14 1
10 14 1
12 14 1
14 14 1
16 14 2
18 14 1
18 18 1
16 18 1
14 18 1
12 18 1
10 18 1
8 18 1
8 22 1
8 26 1
10 22 1
12 22 1
14 22 1
16 22 1
18 22 1
10 26 1
12 26 1
14 26 1
16 26 1
18 26 1
10 10 2
12 10 2
14 10 2
16 10 2
16 14 1
14 14 2
12 14 2
10 14 2
10 18 2
12 18 2
14 18 2
16 18 2
16 22 2
14 22 2
12 22 2
10 22 2
12 14 3
14 14 3
12 18 3
14 18 3
